date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,57.50967741935484,233.89999999999995,1.7000000000000028,31,0.63,4,0,0.0,0,0,9.83548387096774,59.435483870967744,0.08129032258064939
2000-02-01,57.16206896551724,227.3,0.0,29,3.01,11,0,0.0,0,0,12.56551724137931,67.84827586206896,-0.3034975369458195
2000-03-01,57.79032258064516,224.6,1.0999999999999943,31,1.67,4,0,0.0,0,0,12.229032258064517,50.538709677419355,-1.8941935483871006
2000-04-01,61.89,104.6,11.300000000000011,30,0.6799999999999999,2,0,0.0,0,0,13.143333333333334,44.85,0.16749999999999687
2000-05-01,64.98064516129033,24.80000000000002,24.200000000000003,31,0.02,0,0,0.0,0,0,12.64516129032258,54.00322580645161,0.6932258064516219
2000-06-01,68.45666666666666,0.09999999999999432,103.80000000000004,30,0.0,0,0,0.0,0,0,12.163333333333334,45.54666666666667,1.3198333333333352
2000-07-01,69.43548387096774,0.0,137.5,31,0.0,0,0,0.0,0,0,12.619354838709677,42.11612903225806,-1.751290322580644
2000-08-01,72.1741935483871,0.0,222.39999999999998,31,0.0,0,0,0.0,0,0,12.180645161290323,41.119354838709675,0.13870967741935658
2000-09-01,70.30666666666666,0.0,159.2,30,0.06,1,0,0.0,0,0,11.556666666666667,43.473333333333336,-1.157500000000013
2000-10-01,64.55806451612904,41.600000000000016,27.900000000000006,31,1.29,4,0,0.0,0,0,10.66451612903226,60.91290322580645,-3.031935483870967
2000-11-01,57.769999999999996,217.90000000000003,1.0,30,0.06,1,0,0.0,0,0,11.126666666666667,30.103333333333335,-4.480333333333334
2000-12-01,57.34193548387096,237.79999999999998,0.4000000000000057,31,0.05,0,0,0.0,0,0,8.819354838709677,46.34193548387096,0.4967741935483758
2001-01-01,54.10645161290322,339.09999999999997,1.4000000000000057,31,4.38,6,1,0.0,0,0,11.864516129032259,42.08709677419355,-3.3219354838709663
2001-02-01,54.510714285714286,295.59999999999997,1.9000000000000057,28,5.64,11,2,0.0,0,0,12.403571428571428,57.496428571428574,-2.954852216748776
