date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2000-01-01,46.23548387096774,581.7000000000002,0.0,31,7.91,15,2,0.0,0,4,13.296774193548387,62.81612903225806,-0.6532258064516157
2000-02-01,48.52068965517241,477.90000000000003,0.0,29,8.99,20,2,0.0,0,0,15.617241379310347,71.56551724137931,-1.4723275862069016
2000-03-01,54.40967741935484,330.1,1.7999999999999972,31,4.55,10,1,0.0,0,0,13.925806451612903,35.670967741935485,-0.15596774193547702
2000-04-01,60.18666666666666,156.39999999999998,12.0,30,3.57,8,1,0.0,0,0,12.666666666666666,33.32666666666667,0.666166666666669
2000-05-01,66.10645161290323,112.0,146.3,31,1.15,5,0,0.0,5,0,12.448387096774193,31.15483870967742,-2.720967741935482
2000-06-01,79.37666666666668,6.0,437.29999999999995,30,1.05,3,0,0.0,20,0,15.056666666666667,12.273333333333333,1.1776666666666813
2000-07-01,78.18064516129031,0.0,408.59999999999997,31,0.03,1,0,0.0,22,0,12.85483870967742,10.474193548387097,-5.861935483870965
2000-08-01,79.13225806451612,0.0,438.1,31,0.0,0,0,0.0,26,0,12.958064516129031,1.6741935483870967,-2.0967741935483843
2000-09-01,73.24666666666667,14.399999999999999,261.79999999999995,30,3.0999999999999996,2,1,0.0,11,0,13.803333333333335,17.37,-1.6398333333333284
2000-10-01,60.858064516129026,176.4,48.000000000000014,31,4.09,10,0,0.0,3,0,11.806451612903226,29.6,-3.0201612903225836
2000-11-01,46.980000000000004,540.6,0.0,30,1.4,5,0,0.0,0,7,9.666666666666666,39.94666666666667,-5.198166666666658
2000-12-01,45.87096774193548,593.0000000000001,0.0,31,2.64,6,1,0.0,0,8,9.116129032258065,34.016129032258064,-0.2835483870967792
2001-01-01,43.36129032258064,670.8,0.0,31,5.68,8,3,0.0,0,10,11.741935483870968,35.95161290322581,-3.527419354838713
2001-02-01,46.31071428571429,523.3,0.0,28,8.51,11,1,0.0,0,4,16.04642857142857,54.660714285714285,-3.6823029556650226
2001-03-01,57.49677419354839,242.1,9.5,31,3.39,7,1,0.0,0,0,13.364516129032259,34.16451612903226,2.9311290322580703
2001-04-01,56.04666666666667,282.7,14.099999999999994,30,1.98,4,1,0.0,0,1,13.473333333333333,36.583333333333336,-3.4738333333333244
2001-05-01,74.6,9.199999999999996,306.8,31,0.1,1,0,0.0,16,0,15.174193548387096,6.970967741935484,5.772580645161284
2001-06-01,76.25,3.5,340.99999999999994,30,1.08,2,0,0.0,14,0,14.366666666666667,14.08,-1.948999999999998
2001-07-01,81.47096774193548,0.0,510.59999999999997,31,0.0,0,0,0.0,23,0,13.69032258064516,6.916129032258064,-2.571612903225798
