observation_date,CES5000000001
1990-01-01,2671
1990-02-01,2676
1990-03-01,2680
1990-04-01,2684
1990-05-01,2689
1990-06-01,2694
1990-07-01,2697
1990-08-01,2696
1990-09-01,2693
1990-10-01,2694
1990-11-01,2690
1990-12-01,2692
1991-01-01,2697
1991-02-01,2693
1991-03-01,2689
1991-04-01,2689
1991-05-01,2684
1991-06-01,2680
1991-07-01,2677
1991-08-01,2671
1991-09-01,2670
1991-10-01,2667
1991-11-01,2656
1991-12-01,2656
1992-01-01,2638
1992-02-01,2640
1992-03-01,2642
1992-04-01,2639
1992-05-01,2638
1992-06-01,2638
1992-07-01,2637
1992-08-01,2635
1992-09-01,2638
1992-10-01,2645
1992-11-01,2650
1992-12-01,2654
1993-01-01,2655
1993-02-01,2656
1993-03-01,2651
1993-04-01,2658
1993-05-01,2661
1993-06-01,2666
1993-07-01,2667
1993-08-01,2674
1993-09-01,2674
1993-10-01,2677
1993-11-01,2683
1993-12-01,2691
1994-01-01,2700
1994-02-01,2708
1994-03-01,2713
1994-04-01,2722
1994-05-01,2726
1994-06-01,2731
1994-07-01,2735
1994-08-01,2751
1994-09-01,2752
1994-10-01,2765
1994-11-01,2776
1994-12-01,2789
1995-01-01,2785
1995-02-01,2814
1995-03-01,2823
1995-04-01,2833
1995-05-01,2834
1995-06-01,2837
1995-07-01,2849
1995-08-01,2851
1995-09-01,2864
1995-10-01,2873
1995-11-01,2880
1995-12-01,2884
1996-01-01,2888
1996-02-01,2892
1996-03-01,2903
1996-04-01,2910
1996-05-01,2920
1996-06-01,2932
1996-07-01,2945
1996-08-01,2957
1996-09-01,2969
1996-10-01,2977
1996-11-01,2990
1996-12-01,2997
1997-01-01,3009
1997-02-01,3025
1997-03-01,3044
1997-04-01,3056
1997-05-01,3071
1997-06-01,3087
1997-07-01,3093
1997-08-01,3103
1997-09-01,3108
1997-10-01,3123
1997-11-01,3132
1997-12-01,3146
1998-01-01,3155
1998-02-01,3169
1998-03-01,3177
1998-04-01,3193
1998-05-01,3203
1998-06-01,3209
1998-07-01,3227
1998-08-01,3230
1998-09-01,3241
1998-10-01,3258
1998-11-01,3271
1998-12-01,3288
1999-01-01,3303
1999-02-01,3330
1999-03-01,3336
1999-04-01,3357
1999-05-01,3391
1999-06-01,3405
1999-07-01,3427
1999-08-01,3451
1999-09-01,3476
1999-10-01,3497
1999-11-01,3515
1999-12-01,3532
2000-01-01,3552
2000-02-01,3570
2000-03-01,3591
2000-04-01,3609
2000-05-01,3615
2000-06-01,3642
2000-07-01,3658
2000-08-01,3584
2000-09-01,3676
2000-10-01,3676
2000-11-01,3685
2000-12-01,3707
2001-01-01,3711
2001-02-01,3716
2001-03-01,3718
2001-04-01,3686
2001-05-01,3663
2001-06-01,3642
2001-07-01,3619
2001-08-01,3598
2001-09-01,3581
2001-10-01,3557
2001-11-01,3536
2001-12-01,3521
2002-01-01,3495
2002-02-01,3471
2002-03-01,3454
2002-04-01,3435
2002-05-01,3417
2002-06-01,3401
2002-07-01,3381
2002-08-01,3370
2002-09-01,3344
2002-10-01,3349
2002-11-01,3328
2002-12-01,3288
2003-01-01,3264
2003-02-01,3235
2003-03-01,3221
2003-04-01,3208
2003-05-01,3194
2003-06-01,3182
2003-07-01,3176
2003-08-01,3163
2003-09-01,3162
2003-10-01,3155
2003-11-01,3150
2003-12-01,3150
2004-01-01,3141
2004-02-01,3141
2004-03-01,3134
2004-04-01,3130
2004-05-01,3135
2004-06-01,3136
2004-07-01,3124
2004-08-01,3108
2004-09-01,3096
2004-10-01,3099
2004-11-01,3088
2004-12-01,3077
2005-01-01,3071
2005-02-01,3057
2005-03-01,3062
2005-04-01,3066
2005-05-01,3062
2005-06-01,3057
2005-07-01,3061
2005-08-01,3063
2005-09-01,3070
2005-10-01,3055
2005-11-01,3055
2005-12-01,3052
2006-01-01,3054
2006-02-01,3052
2006-03-01,3055
2006-04-01,3047
2006-05-01,3039
2006-06-01,3036
2006-07-01,3031
2006-08-01,3035
2006-09-01,3028
2006-10-01,3024
2006-11-01,3024
2006-12-01,3034
2007-01-01,3030
2007-02-01,3034
2007-03-01,3030
2007-04-01,3035
2007-05-01,3040
2007-06-01,3038
2007-07-01,3037
2007-08-01,3028
2007-09-01,3031
2007-10-01,3028
2007-11-01,3025
2007-12-01,3026
2008-01-01,3026
2008-02-01,3019
2008-03-01,3021
2008-04-01,3013
2008-05-01,3008
2008-06-01,3001
2008-07-01,2987
2008-08-01,2972
2008-09-01,2962
2008-10-01,2951
2008-11-01,2931
2008-12-01,2911
