observation_date,CES1000000001
1990-01-01,762
1990-02-01,760
1990-03-01,761
1990-04-01,766
1990-05-01,770
1990-06-01,771
1990-07-01,769
1990-08-01,765
1990-09-01,766
1990-10-01,763
1990-11-01,761
1990-12-01,760
1991-01-01,759
1991-02-01,759
1991-03-01,756
1991-04-01,752
1991-05-01,748
1991-06-01,746
1991-07-01,741
1991-08-01,735
1991-09-01,729
1991-10-01,722
1991-11-01,715
1991-12-01,710
1992-01-01,707
1992-02-01,701
1992-03-01,700
1992-04-01,698
1992-05-01,695
1992-06-01,688
1992-07-01,685
1992-08-01,681
1992-09-01,675
1992-10-01,678
1992-11-01,677
1992-12-01,676
1993-01-01,677
1993-02-01,670
1993-03-01,671
1993-04-01,669
1993-05-01,671
1993-06-01,664
1993-07-01,661
1993-08-01,656
1993-09-01,660
1993-10-01,659
1993-11-01,659
1993-12-01,673
1994-01-01,670
1994-02-01,666
1994-03-01,663
1994-04-01,661
1994-05-01,658
1994-06-01,658
1994-07-01,657
1994-08-01,656
1994-09-01,658
1994-10-01,653
1994-11-01,653
1994-12-01,652
1995-01-01,651
1995-02-01,647
1995-03-01,646
1995-04-01,644
1995-05-01,641
1995-06-01,640
1995-07-01,639
1995-08-01,638
1995-09-01,637
1995-10-01,637
1995-11-01,634
1995-12-01,635
1996-01-01,633
1996-02-01,636
1996-03-01,637
1996-04-01,638
1996-05-01,638
1996-06-01,639
1996-07-01,638
1996-08-01,637
1996-09-01,635
1996-10-01,635
1996-11-01,639
1996-12-01,640
1997-01-01,646
1997-02-01,647
1997-03-01,648
1997-04-01,652
1997-05-01,654
1997-06-01,654
1997-07-01,656
1997-08-01,654
1997-09-01,657
1997-10-01,658
1997-11-01,656
1997-12-01,659
1998-01-01,659
1998-02-01,658
1998-03-01,657
1998-04-01,654
1998-05-01,651
1998-06-01,648
1998-07-01,643
1998-08-01,642
1998-09-01,637
1998-10-01,632
1998-11-01,628
1998-12-01,627
1999-01-01,617
1999-02-01,610
1999-03-01,608
1999-04-01,602
1999-05-01,596
1999-06-01,592
1999-07-01,594
1999-08-01,594
1999-09-01,591
1999-10-01,592
1999-11-01,592
1999-12-01,593
2000-01-01,593
2000-02-01,594
2000-03-01,593
2000-04-01,596
2000-05-01,598
2000-06-01,597
2000-07-01,601
2000-08-01,600
2000-09-01,605
2000-10-01,607
2000-11-01,605
2000-12-01,601
2001-01-01,606
2001-02-01,607
2001-03-01,610
2001-04-01,609
2001-05-01,609
2001-06-01,610
2001-07-01,610
2001-08-01,608
2001-09-01,606
2001-10-01,602
2001-11-01,600
2001-12-01,597
2002-01-01,600
2002-02-01,596
2002-03-01,589
2002-04-01,587
2002-05-01,584
2002-06-01,579
2002-07-01,577
2002-08-01,576
2002-09-01,575
2002-10-01,575
2002-11-01,577
2002-12-01,577
2003-01-01,575
2003-02-01,575
2003-03-01,570
2003-04-01,566
2003-05-01,570
2003-06-01,572
2003-07-01,571
2003-08-01,570
2003-09-01,570
2003-10-01,574
2003-11-01,576
2003-12-01,575
2004-01-01,575
2004-02-01,576
2004-03-01,584
2004-04-01,586
2004-05-01,591
2004-06-01,591
2004-07-01,594
2004-08-01,595
2004-09-01,597
2004-10-01,595
2004-11-01,599
2004-12-01,602
2005-01-01,607
2005-02-01,610
2005-03-01,616
2005-04-01,620
2005-05-01,621
2005-06-01,624
2005-07-01,626
2005-08-01,630
2005-09-01,635
2005-10-01,641
2005-11-01,647
2005-12-01,651
2006-01-01,656
2006-02-01,661
2006-03-01,668
2006-04-01,678
2006-05-01,681
2006-06-01,685
2006-07-01,690
2006-08-01,692
2006-09-01,695
2006-10-01,699
2006-11-01,700
2006-12-01,704
2007-01-01,705
2007-02-01,710
2007-03-01,714
2007-04-01,720
2007-05-01,721
2007-06-01,725
2007-07-01,728
2007-08-01,728
2007-09-01,728
2007-10-01,729
2007-11-01,734
2007-12-01,739
2008-01-01,746
2008-02-01,747
2008-03-01,754
2008-04-01,755
2008-05-01,764
2008-06-01,768
2008-07-01,770
2008-08-01,780
2008-09-01,784
2008-10-01,781
2008-11-01,776
2008-12-01,770
