date,temp_mean,hdd,cdd,day_count,precip_total,precip_days,extreme_precip_days,snow_total,extreme_heat_days,extreme_cold_days,wind_mean,cloud_cover_mean,temp_anom
2003-09-01,60.36666666666667,154.3,15.299999999999997,30,0.77,8,0,0.0,0,0,10.506666666666666,39.309999999999995,1.360500000000009
2003-10-01,53.21290322580645,365.40000000000003,0.0,31,4.44,13,1,0.0,0,0,15.345161290322581,65.22903225806452,1.6904838709677392
2003-11-01,41.18666666666666,714.4,0.0,30,4.67,13,2,0.0,0,8,13.996666666666666,59.79666666666667,-3.491404761904768
2003-12-01,41.28387096774193,735.2,0.0,31,3.72,16,0,0.0,0,4,15.193548387096774,70.76129032258065,1.0570967741935462
2004-01-01,40.851612903225806,748.5999999999999,0.0,31,4.64,17,1,0.0,0,6,15.22258064516129,80.80322580645162,-0.34854838709677693
2004-02-01,44.13793103448276,605.0,0.0,29,2.53,15,0,0.0,0,0,12.875862068965516,63.0103448275862,2.5009729064039448
2004-03-01,46.78709677419355,564.6,0.0,31,2.9,17,0,0.0,0,0,14.932258064516128,65.8,1.9391935483870952
2004-04-01,51.92666666666666,392.20000000000005,0.0,30,0.52,8,0,0.0,0,0,12.333333333333334,39.983333333333334,3.303999999999995
2004-05-01,55.12903225806452,305.99999999999994,0.0,31,3.23,15,1,0.0,0,0,12.093548387096773,65.72258064516129,1.0556451612903217
2004-06-01,60.980000000000004,151.50000000000003,30.900000000000006,30,0.5,9,0,0.0,0,0,11.876666666666667,44.39,2.6114999999999995
2004-07-01,64.60967741935484,74.10000000000002,62.0,31,0.46,4,0,0.0,0,0,10.241935483870968,34.26451612903226,1.8529032258064575
2004-08-01,64.75806451612904,43.0,35.500000000000014,31,2.52,9,0,0.0,0,0,11.680645161290323,44.61290322580645,1.3551612903225916
2004-09-01,56.75,247.5,0.0,30,2.17,15,0,0.0,0,0,11.4,59.78,-2.256166666666658
2004-10-01,51.82258064516129,408.49999999999994,0.0,31,2.67,16,0,0.0,0,0,12.583870967741936,59.26129032258065,0.30016129032257766
2004-11-01,44.15,625.4999999999999,0.0,30,3.81,17,1,0.0,0,1,13.576666666666666,63.71666666666667,-0.5280714285714296
2004-12-01,41.96774193548387,714.0,0.0,31,4.63,21,0,0.0,0,0,12.893548387096773,71.35806451612903,1.740967741935485
2005-01-01,41.61612903225806,724.9000000000001,0.0,31,1.76,16,0,0.0,0,11,14.148387096774194,61.0258064516129,0.41596774193547503
2005-02-01,40.85,676.2,0.0,28,1.64,6,0,0.0,0,10,10.189285714285715,32.346428571428575,-0.7869581280788154
2005-03-01,47.858064516129026,531.4,0.0,31,2.56,12,0,0.0,0,0,15.093548387096773,59.99677419354839,3.0101612903225714
2005-04-01,50.03333333333333,448.99999999999994,0.0,30,4.13,18,0,0.0,0,0,13.613333333333333,57.97,1.410666666666664
2005-05-01,56.906451612903226,263.49999999999994,12.599999999999994,31,3.21,15,0,0.0,0,0,12.251612903225807,59.961290322580645,2.8330645161290278
2005-06-01,57.406666666666666,227.8,0.0,30,2.17,20,0,0.0,0,0,10.283333333333333,72.08666666666666,-0.9618333333333382
2005-07-01,62.541935483870965,87.60000000000001,11.400000000000006,31,0.7,7,0,0.0,0,0,11.151612903225805,34.483870967741936,-0.2148387096774158
2005-08-01,63.541935483870965,67.3,22.10000000000001,31,0.43,3,0,0.0,0,0,9.683870967741935,28.36774193548387,0.13903225806451758
2005-09-01,56.88666666666666,243.40000000000003,0.0,30,1.24,5,0,0.0,0,0,10.176666666666668,42.50333333333333,-2.119499999999995
2005-10-01,53.08387096774193,369.3999999999999,0.0,31,2.8600000000000003,21,0,0.0,0,0,13.458064516129031,69.59677419354838,1.5614516129032197
2005-11-01,42.03666666666666,688.9,0.0,30,4.72,18,0,0.0,0,3,13.03,67.91333333333334,-2.6414047619047665
2005-12-01,40.303225806451614,765.6,0.0,31,4.99,18,0,0.0,0,12,13.003225806451614,61.57419354838709,0.07645161290322733
2006-01-01,43.32258064516129,671.9999999999999,0.0,31,7.49,25,1,0.0,0,0,20.580645161290324,87.00967741935484,2.122419354838705
2006-02-01,40.300000000000004,691.5999999999999,0.0,28,2.7,13,0,0.0,0,9,14.060714285714285,49.65714285714286,-1.3369581280788125
2006-03-01,44.119354838709675,647.3,0.0,31,1.9200000000000002,14,0,0.0,0,2,16.45483870967742,61.66129032258065,-0.7285483870967795
2006-04-01,48.14,505.8,0.0,30,2.5,13,0,0.0,0,0,13.41,54.85,-0.4826666666666668
2006-05-01,53.670967741935485,351.20000000000005,0.0,31,2.43,17,0,0.0,0,0,11.848387096774195,46.09354838709677,-0.40241935483871316
2006-06-01,59.39333333333333,180.89999999999998,12.700000000000003,30,1.24,9,0,0.0,0,0,11.333333333333334,52.54666666666667,1.0248333333333264
2006-07-01,62.770967741935486,119.60000000000001,50.5,31,0.18,4,0,0.0,0,0,10.35483870967742,40.90967741935484,0.014193548387105182
2006-08-01,61.277419354838706,121.9,6.499999999999986,31,0.35,3,0,0.0,0,0,9.912903225806453,26.664516129032258,-2.1254838709677415
2006-09-01,58.736666666666665,196.10000000000002,8.200000000000003,30,1.65,9,0,0.0,0,0,9.436666666666667,34.95,-0.26949999999999363
2006-10-01,49.854838709677416,469.5,0.0,31,2.21,10,0,0.0,0,2,9.916129032258064,47.641935483870974,-1.6675806451612942
2006-11-01,43.29,651.3,0.0,30,9.19,20,1,0.0,0,4,20.64333333333333,81.51333333333334,-1.388071428571429
2006-12-01,40.690322580645166,753.6000000000001,0.0,31,6.53,14,3,0.0,0,6,17.39032258064516,59.97741935483871,0.4635483870967789
2007-01-01,37.90967741935484,839.8,0.0,31,2.58,14,0,0.0,0,8,16.316129032258065,57.670967741935485,-3.2904838709677406
2007-02-01,42.746428571428574,623.0999999999999,0.0,28,2.29,18,0,0.0,0,4,15.203571428571427,67.87857142857142,1.1094704433497569
2007-03-01,45.8258064516129,594.4000000000001,0.0,31,2.7800000000000002,19,0,0.0,0,2,16.967741935483872,73.89032258064516,0.9779032258064433
2007-04-01,48.07,507.9,0.0,30,1.59,15,0,0.0,0,0,13.386666666666667,66.16,-0.5526666666666671
2007-05-01,52.71612903225807,382.4,1.5999999999999943,31,1.55,9,0,0.0,0,0,11.329032258064515,48.05806451612903,-1.357258064516131
2007-06-01,56.69666666666667,250.0,0.9000000000000057,30,2.18,16,0,0.0,0,0,11.416666666666666,57.3,-1.671833333333332
2007-07-01,63.45161290322581,74.6,26.60000000000001,31,1.43,6,0,0.0,0,0,11.606451612903227,34.9483870967742,0.6948387096774269
2007-08-01,61.50322580645161,114.19999999999999,5.799999999999997,31,0.98,7,0,0.0,0,0,9.412903225806453,43.55483870967742,-1.8996774193548376
2007-09-01,56.79666666666667,249.60000000000002,3.5,30,2.64,11,0,0.0,0,0,9.733333333333333,51.46333333333334,-2.2094999999999914
2007-10-01,49.88709677419355,468.5,0.0,31,2.9699999999999998,14,0,0.0,0,0,15.2,57.50322580645161,-1.635322580645159
2007-11-01,43.09,657.3000000000001,0.0,30,3.0900000000000003,14,1,0.0,0,2,13.276666666666667,59.980000000000004,-1.5880714285714248
2007-12-01,38.770967741935486,813.0999999999999,0.0,31,8.25,22,2,0.0,0,6,16.44516129032258,80.66129032258064,-1.4558064516129008
2008-01-01,37.70322580645161,846.2000000000002,0.0,31,3.2,17,0,0.0,0,9,16.529032258064515,71.45806451612903,-3.4969354838709705
2008-02-01,42.213793103448275,660.8,0.0,29,1.43,11,0,0.0,0,1,14.675862068965518,66.27586206896552,0.5768349753694579
2008-03-01,41.596774193548384,725.5,0.0,31,3.58,19,0,0.0,0,0,15.243333333333334,75.37741935483871,-3.2511290322580706
2008-04-01,44.31333333333334,620.6,0.0,30,2.64,17,0,0.0,0,1,12.41,69.08999999999999,-4.309333333333328
2008-05-01,52.958064516129035,380.7,7.400000000000006,31,1.61,10,0,0.0,0,0,11.14516129032258,65.15483870967742,-1.115322580645163
2008-06-01,54.906666666666666,319.8,16.999999999999986,30,2.4,10,1,0.0,0,0,11.126666666666667,59.32666666666667,-3.461833333333338
2008-07-01,60.07741935483871,154.8,2.200000000000003,31,1.02,6,0,0.0,0,0,10.887096774193548,35.94193548387097,-2.6793548387096706
2008-08-01,62.596774193548384,107.40000000000002,32.900000000000006,31,1.9,10,0,0.0,0,0,12.174193548387096,44.196774193548386,-0.8061290322580632
2008-09-01,57.876666666666665,213.7,0.0,30,0.83,5,0,0.0,0,0,8.46,34.29333333333333,-1.129499999999993
2008-10-01,50.309677419354834,455.40000000000003,0.0,31,2.4,12,0,0.0,0,0,12.625806451612902,52.29677419354839,-1.2127419354838764
2008-11-01,48.35333333333333,499.4,0.0,30,5.04,18,0,0.0,0,0,15.07,64.56333333333333,3.6752619047619035
2008-12-01,35.987096774193546,899.3999999999999,0.0,31,3.21,19,0,0.0,0,14,14.964516129032257,77.99032258064516,-4.239677419354841
2009-01-01,38.08387096774193,834.4,0.0,31,2.14,11,0,0.0,0,11,12.13225806451613,60.37419354838709,-3.116290322580653
2009-02-01,40.800000000000004,677.6,0.0,28,0.97,11,0,0.0,0,2,11.139285714285714,52.228571428571435,-0.8369581280788125
2009-03-01,40.60645161290322,756.1999999999999,0.0,31,3.48,19,0,0.0,0,5,16.616129032258065,70.46129032258065,-4.241451612903234
2009-04-01,47.586666666666666,522.4,0.0,30,2.28,11,0,0.0,0,0,11.483333333333333,50.809999999999995,-1.0360000000000014
2009-05-01,53.39354838709678,359.80000000000007,0.0,31,3.0,13,0,0.0,0,0,13.880645161290323,41.0258064516129,-0.6798387096774192
2009-06-01,59.95666666666667,174.2,22.900000000000006,30,0.42,5,0,0.0,0,0,11.466666666666667,44.76,1.588166666666666
2009-07-01,66.09032258064516,66.89999999999999,100.70000000000002,31,0.39000000000000007,3,0,0.0,2,0,10.735483870967743,26.14516129032258,3.3335483870967835
2009-08-01,62.79354838709677,97.69999999999999,29.30000000000001,31,0.85,4,0,0.0,0,0,9.658064516129032,41.08064516129032,-0.6093548387096774
2009-09-01,60.416666666666664,148.6,11.099999999999994,30,1.9500000000000002,7,0,0.0,0,0,12.116666666666667,38.03333333333333,1.410500000000006
2009-10-01,50.88387096774194,437.6000000000001,0.0,31,5.19,16,0,0.0,0,0,13.3,61.18387096774194,-0.638548387096769
2009-11-01,45.85,574.5,0.0,30,7.15,20,1,0.0,0,0,18.586666666666666,75.7,1.1719285714285732
2009-12-01,37.18387096774194,862.3000000000001,0.0,31,2.4699999999999998,9,0,0.0,0,12,10.196774193548388,45.39677419354839,-3.042903225806448
2010-01-01,46.39354838709678,576.8,0.0,31,4.54,19,0,0.0,0,0,13.903225806451612,72.36774193548388,5.193387096774195
2010-02-01,46.05714285714286,530.4,0.0,28,2.29,16,0,0.0,0,0,12.921428571428573,55.410714285714285,4.42018472906404
2010-03-01,46.57741935483871,571.1,0.0,31,2.6,13,0,0.0,0,1,15.658064516129034,53.62580645161291,1.7295161290322554
2010-04-01,48.19666666666667,504.1000000000001,0.0,30,2.85,17,0,0.0,0,0,15.553333333333333,64.46666666666667,-0.4259999999999948
2010-05-01,51.270967741935486,425.59999999999997,0.0,31,3.14,16,0,0.0,0,0,13.229032258064517,62.096774193548384,-2.8024193548387117
2010-06-01,55.82666666666667,275.20000000000005,0.0,30,3.88,18,0,0.0,0,0,10.703333333333335,72.85,-2.5418333333333365
2010-07-01,61.75483870967742,133.2,32.60000000000001,31,0.17,3,0,0.0,0,0,9.170967741935485,32.81935483870968,-1.0019354838709589
2010-08-01,62.32258064516129,128.5,45.5,31,2.46,6,1,0.0,0,0,9.441935483870967,38.76774193548387,-1.0803225806451593
2010-09-01,59.11333333333334,179.29999999999998,2.700000000000003,30,3.61,17,0,0.0,0,0,12.16,67.88000000000001,0.10716666666667862
2010-10-01,52.593548387096774,384.6,0.0,31,2.45,14,0,0.0,0,0,13.193548387096774,52.04838709677419,1.0711290322580638
2010-11-01,43.00333333333333,659.9000000000001,0.0,30,3.21,17,0,0.0,0,5,14.553333333333335,77.97333333333333,-1.674738095238098
2010-12-01,42.38709677419355,700.9999999999999,0.0,31,5.64,20,0,0.0,0,2,16.06451612903226,69.82903225806452,2.1603225806451647
2011-01-01,41.41290322580645,731.2,0.0,31,4.01,17,0,0.0,0,7,15.887096774193548,72.09032258064516,0.21274193548386933
2011-02-01,38.75,735.0,0.0,28,2.63,13,0,0.0,0,7,15.696428571428571,61.917857142857144,-2.886958128078817
2011-03-01,44.44193548387097,637.3,0.0,31,6.46,23,0,0.0,0,0,17.63225806451613,77.61935483870967,-0.4059677419354841
2011-04-01,44.49333333333333,615.1999999999999,0.0,30,4.29,20,0,0.0,0,0,14.043333333333333,75.07333333333332,-4.129333333333335
2011-05-01,50.854838709677416,438.49999999999994,0.0,31,3.52,16,0,0.0,0,0,12.006451612903225,67.1032258064516,-3.2185483870967815
2011-06-01,56.38333333333333,258.50000000000006,0.0,30,1.6600000000000001,15,0,0.0,0,0,9.943333333333333,66.76,-1.9851666666666716
2011-07-01,59.49354838709677,171.3,0.5999999999999943,31,1.15,11,0,0.0,0,0,9.619354838709677,54.458064516129035,-3.263225806451608
2011-08-01,62.145161290322584,100.5,12.0,31,0.0,0,0,0.0,0,0,9.558064516129033,39.04516129032258,-1.257741935483864
2011-09-01,62.28333333333333,112.09999999999998,30.60000000000001,30,0.3,3,0,0.0,0,0,12.176666666666668,36.35333333333333,3.2771666666666732
2011-10-01,51.380645161290325,422.19999999999993,0.0,31,2.0,15,0,0.0,0,0,12.819354838709677,68.3741935483871,-0.14177419354838605
2011-11-01,42.84666666666667,664.5999999999999,0.0,30,6.3,15,2,0.0,0,2,15.43,64.69,-1.831404761904757
2011-12-01,40.099999999999994,771.9000000000001,0.0,31,1.07,13,0,0.0,0,8,12.896774193548387,66.64838709677419,-0.1267741935483926
2012-01-01,39.91612903225807,777.6000000000001,0.0,31,3.74,16,0,0.0,0,10,17.73548387096774,69.75483870967743,-1.2840322580645136
2012-02-01,42.92068965517242,640.3000000000001,0.0,29,3.87,17,0,0.0,0,1,14.124137931034484,69.4793103448276,1.2837315270936003
2012-03-01,42.46451612903226,698.6,0.0,31,6.15,23,0,0.0,0,1,18.596774193548388,72.4258064516129,-2.383387096774193
2012-04-01,49.71666666666667,458.5,0.0,30,2.8,13,0,0.0,0,0,14.31,62.55,1.0940000000000012
2012-05-01,53.31935483870968,362.1,0.0,31,3.0900000000000003,12,0,0.0,0,0,11.283870967741937,54.36774193548386,-0.7540322580645196
2012-06-01,55.766666666666666,277.00000000000006,0.0,30,3.69,16,0,0.0,0,0,11.006666666666666,72.40666666666667,-2.6018333333333388
2012-07-01,60.79354838709677,133.7,3.299999999999997,31,1.28,7,0,0.0,0,0,10.148387096774194,46.49354838709677,-1.9632258064516108
2012-08-01,64.22258064516129,71.0,46.900000000000006,31,0.060000000000000005,1,0,0.0,0,0,9.438709677419356,30.635483870967743,0.8196774193548393
2012-09-01,59.68,168.10000000000002,8.5,30,0.32,2,0,0.0,0,0,7.803333333333333,21.273333333333333,0.6738333333333415
2012-10-01,52.03548387096774,401.9,0.0,31,5.56,18,1,0.0,0,0,14.419354838709678,61.12580645161291,0.5130645161290275
2012-11-01,46.06666666666667,568.0,0.0,30,7.130000000000001,20,2,0.0,0,1,14.026666666666667,70.49,1.3885952380952418
2012-12-01,40.70645161290323,753.1,0.0,31,7.78,26,1,0.0,0,1,15.52258064516129,85.59032258064516,0.479677419354843
2013-01-01,37.91290322580645,839.6999999999999,0.0,31,4.76,15,1,0.0,0,12,11.438709677419356,57.05806451612903,-3.2872580645161307
2013-02-01,42.096428571428575,641.3,0.0,28,1.6600000000000001,17,0,0.0,0,0,14.264285714285714,81.17857142857143,0.4594704433497583
2013-03-01,44.938709677419354,621.9000000000002,0.0,31,3.12,13,0,0.0,0,0,14.151612903225805,59.28709677419354,0.0908064516128988
2013-04-01,48.02333333333333,509.30000000000007,0.0,30,3.31,18,1,0.0,0,0,14.21,67.8,-0.5993333333333339
2013-05-01,55.23225806451613,304.09999999999997,1.2999999999999972,31,1.26,11,0,0.0,0,0,12.345161290322581,55.748387096774195,1.158870967741933
2013-06-01,60.24,158.5,15.700000000000003,30,1.57,9,0,0.0,0,0,10.123333333333333,54.940000000000005,1.8714999999999975
2013-07-01,62.76129032258064,78.89999999999999,9.5,31,0.06,2,0,0.0,0,0,10.238709677419354,23.20967741935484,0.0045161290322610625
2013-08-01,64.40322580645162,36.10000000000001,17.59999999999998,31,2.06,7,1,0.0,0,0,10.72258064516129,41.983870967741936,1.000322580645168
2013-09-01,59.51,173.29999999999995,8.599999999999994,30,3.0,20,0,0.0,0,0,12.423333333333334,53.559999999999995,0.5038333333333398
2013-10-01,49.11290322580645,492.5,0.0,31,1.51,7,0,0.0,0,0,8.380645161290323,43.41290322580645,-2.409516129032262
2013-11-01,44.443333333333335,616.7,0.0,30,2.39,13,0,0.0,0,2,12.076666666666666,62.18666666666666,-0.23473809523809308
2013-12-01,37.31290322580645,858.3,0.0,31,1.67,9,0,0.0,0,11,10.635483870967741,61.599999999999994,-2.9138709677419357
2014-01-01,41.122580645161285,740.1999999999998,0.0,31,3.3000000000000003,11,1,0.0,0,2,12.087096774193547,57.63548387096775,-0.07758064516129792
2014-02-01,38.18571428571429,750.8000000000001,0.0,28,3.42,13,0,0.0,0,7,15.589285714285714,66.25714285714285,-3.4512438423645264
2014-03-01,45.74516129032258,596.9000000000001,0.0,31,6.7299999999999995,18,2,0.0,0,0,17.048387096774192,71.52258064516128,0.897258064516123
2014-04-01,49.96333333333334,451.09999999999997,0.0,30,2.83,14,0,0.0,0,0,14.4,60.64333333333333,1.340666666666671
2014-05-01,56.57419354838709,265.40000000000003,4.199999999999989,31,1.58,12,0,0.0,0,0,12.038709677419355,53.15483870967742,2.5008064516128954
2014-06-01,58.443333333333335,196.70000000000005,0.0,30,1.21,9,0,0.0,0,0,11.57,56.14,0.07483333333333064
2014-07-01,64.45161290322581,56.999999999999986,40.0,31,1.1,4,0,0.0,0,0,10.76774193548387,30.519354838709678,1.694838709677427
2014-08-01,65.35483870967742,41.30000000000001,52.29999999999998,31,1.7300000000000002,7,1,0.0,0,0,9.648387096774194,32.98064516129032,1.951935483870976
2014-09-01,61.32666666666667,120.60000000000001,10.400000000000006,30,2.61,10,0,0.0,0,0,11.083333333333334,41.306666666666665,2.3205000000000098
2014-10-01,56.23870967741936,271.59999999999997,0.0,31,5.6,16,0,0.0,0,0,14.167741935483871,63.94193548387097,4.716290322580647
2014-11-01,44.126666666666665,626.1999999999999,0.0,30,4.05,13,0,0.0,0,7,15.270000000000001,52.04333333333333,-0.5514047619047631
2014-12-01,43.33870967741935,671.5000000000001,0.0,31,5.93,17,0,0.0,0,6,14.251612903225807,64.35483870967742,3.1119354838709654
2015-01-01,43.92580645161291,653.3,0.0,31,2.32,11,0,0.0,0,2,12.26774193548387,52.0,2.7256451612903234
2015-02-01,47.800000000000004,481.6,0.0,28,3.66,17,0,0.0,0,0,13.064285714285715,60.364285714285714,6.1630418719211875
2015-03-01,49.29032258064516,487.00000000000006,0.0,31,3.05,11,1,0.0,0,0,15.519354838709678,48.78387096774193,4.442419354838705
2015-04-01,49.03666666666666,478.9,0.0,30,1.61,13,0,0.0,0,0,12.236666666666668,53.163333333333334,0.4139999999999944
2015-05-01,55.94516129032258,280.7,0.0,31,0.4,4,0,0.0,0,0,10.5,45.809677419354834,1.871774193548383
2015-06-01,62.85666666666667,102.2,37.900000000000006,30,0.47000000000000003,3,0,0.0,0,0,10.613333333333333,21.029999999999998,4.488166666666665
2015-07-01,66.70967741935483,38.9,91.9,31,0.26,2,0,0.0,1,0,10.861290322580645,31.629032258064516,3.952903225806452
2015-08-01,64.88387096774194,47.5,43.89999999999998,31,1.97,8,0,0.0,0,0,13.329032258064515,31.63225806451613,1.480967741935494
2015-09-01,57.78,217.7,1.0999999999999943,30,2.05,9,0,0.0,0,0,12.24,52.35,-1.226166666666657
2015-10-01,55.50322580645161,294.40000000000003,0.0,31,2.67,11,0,0.0,0,0,13.067741935483872,51.906451612903226,3.9808064516128994
2015-11-01,42.516666666666666,674.5,0.0,30,5.78,19,1,0.0,0,5,13.479999999999999,56.61,-2.1614047619047625
2015-12-01,41.2,737.8,0.0,31,7.97,22,1,0.0,0,2,17.009677419354837,82.52258064516128,0.9732258064516159
2016-01-01,42.50967741935484,697.2000000000002,0.0,31,6.42,21,1,0.0,0,3,14.13225806451613,66.77741935483871,1.3095161290322537
2016-02-01,46.77241379310345,528.5999999999999,0.0,29,2.66,18,0,0.0,0,0,17.103448275862068,63.53793103448275,5.135455665024637
2016-03-01,47.596774193548384,539.5,0.0,31,6.03,22,0,0.0,0,0,18.383870967741935,64.64516129032258,2.7488709677419294
2016-04-01,53.69666666666667,345.4,6.299999999999997,30,2.54,9,0,0.0,0,0,12.436666666666667,46.61333333333334,5.074000000000005
2016-05-01,56.519354838709674,268.29999999999995,5.400000000000006,31,1.2,11,0,0.0,0,0,10.7,52.619354838709675,2.445967741935476
2016-06-01,59.416666666666664,182.10000000000002,14.600000000000009,30,1.79,8,0,0.0,0,0,11.530000000000001,48.38,1.0481666666666598
2016-07-01,62.65806451612904,86.29999999999998,13.700000000000003,31,0.75,6,0,0.0,0,0,11.625806451612902,52.29677419354839,-0.09870967741934322
2016-08-01,64.91290322580645,64.69999999999997,61.999999999999986,31,0.1,2,0,0.0,0,0,10.387096774193548,32.10322580645161,1.509999999999998
2016-09-01,57.983333333333334,210.50000000000003,0.0,30,2.01,8,0,0.0,0,0,10.79,44.84,-1.022833333333324
